,0
539,AGZD
540,AH50.DE
541,AH50.F
542,AH50.L
543,AH88.DU
544,AH88.HM
545,AH8S.HM
546,AHYE.F
547,AHYE.MI
548,AIA
549,AIEQ
550,AIIQ
551,AIQ
552,AIQ.MX
553,AJEUAS.MI
554,AJEUAS.SW
555,AJXA
556,ALFA
557,ALQD.DE
558,ALQD.F
559,ALQD.L
560,ALQD.MU
561,ALW.BE
562,ALW.DU
563,ALW.F
564,ALW2.F
565,ALW2.HM
566,ALW2.MU
567,ALW3.BE
568,ALW3.DU
569,ALW3.F
570,ALW3.MU
571,ALYU.L
572,AMAL.L
573,AMAL.MI
574,AME6.DU
575,AMEA.BE
576,AMER
577,AMJ
578,AMLP
579,AMOM
580,AMUB
581,AMZA
582,AN0.BE
583,AN0.MU
584,AN01.BE
585,AN01.MU
586,AN04.BE
587,AN04.MU
588,AN07.MU
589,AN0A.MU
590,AN0B.BE
591,AN0C.BE
592,AN0C.MU
593,AN0E.MU
594,AN0G.BE
595,AN0G.MU
596,AN0Q.MU
597,ANEW
598,ANGL
599,ANRJ.L
600,ANRJ.PA
601,ANT1.MU
602,ANT2.HM
603,ANTE.BE
604,ANTE.DU
605,ANTE.F
606,ANTE.HM
607,ANTE.MU
608,ANX.PA
609,ANXG.L
610,ANXU.L
611,ANXU.PA
612,AOA
613,AOK
614,AOM
615,AOR
616,AOX.BE
617,AOX.DE
618,AOX.DU
619,AOX.F
620,AOX.HA
621,AOX.HM
622,AOX.MU
623,APW1.BE
624,APW1.DU
625,APW1.MU
626,APX.PA
627,AQ9C.BE
628,AQ9C.DU
629,AQ9C.F
630,AQ9C.HM
631,AQ9C.MU
632,ARB
633,ARGT
634,ARKF
635,ARKG
636,ARKK
637,ARKQ
638,ARKW
639,AS91.F
640,AS9E.BE
641,AS9E.MU
642,AS9F.BE
643,AS9F.MU
644,ASEA
645,ASET
646,ASHR
647,ASHS
648,ASR6.F
649,ASWE.DE
650,ASWE.DU
651,ASWE.F
652,ASWE.MU
653,ATMP
654,AUAD.L
655,AUEG.L
656,AUEM.L
657,AUEM.PA
658,AUEU.MI
659,AUEUAH.SW
660,AUGA.L
661,AUHCHA.SW
662,AUHEUA.MI
663,AUHEUA.SW
664,AUHGBA.SW
665,AUHUSA.SW
